[2025-03-29 19:36:03] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-03-29 19:36:03] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2025-03-29 19:36:03] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-03-29 19:36:04] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-03-29 19:36:04] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-03-29 19:36:04] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-03-29 19:36:04] [class-ss-setup-task.php:33] Creating archive directory: /opt/lampp/htdocs/wordpress/wp-content/uploads/simply-static/temp-files/simply-static-1-1743276963/
[2025-03-29 19:36:04] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/wordpress/
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/tipsy/tipsy.min.js
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/tipsy/tipsy.js
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.js
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/imagesloaded/imagesloaded.min.js
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/imagesloaded/imagesloaded.js
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.js
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.css
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.css
[2025-03-29 19:36:04] [class-elementor-integration.php:230] Adding elementor bundle asset to queue: http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.js
